12/10/2021-15:20:11.001266  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} 2001:0004:0000:0000:0000:0000:0000:0020:136 -> fe80:0000:0000:0000:fc23:3fff:fee1:ab56:0
12/10/2021-15:20:21.267823  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60316 -> 10.0.4.20:80
12/10/2021-15:20:14.344537  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60286 -> 10.0.4.20:80
12/10/2021-15:20:11.851131  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60276 -> 10.0.4.20:80
12/10/2021-15:20:15.384480  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60290 -> 10.0.4.20:80
12/10/2021-15:20:12.884471  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60280 -> 10.0.4.20:80
12/10/2021-15:20:15.807876  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60292 -> 10.0.4.20:80
12/10/2021-15:20:13.504584  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60282 -> 10.0.4.20:80
12/10/2021-15:20:16.124491  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:b85a:d8ff:fe66:2cdf:135 -> fe80:0000:0000:0000:fc23:3fff:fee1:ab56:0
12/10/2021-15:20:16.124506  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:fc23:3fff:fee1:ab56:136 -> fe80:0000:0000:0000:b85a:d8ff:fe66:2cdf:0
12/10/2021-15:20:14.957802  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60288 -> 10.0.4.20:80
12/10/2021-15:20:17.077779  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60298 -> 10.0.4.20:80
