------------------------------------------------------------------------------------
Date: 12/10/2021 -- 15:08:38 (uptime: 0d, 00h 00m 55s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 205386
decoder.bytes                                 | Total                     | 23998266
decoder.ipv4                                  | Total                     | 190654
decoder.ipv6                                  | Total                     | 14730
decoder.ethernet                              | Total                     | 205386
decoder.tcp                                   | Total                     | 203103
decoder.icmpv6                                | Total                     | 596
decoder.avg_pkt_size                          | Total                     | 116
decoder.max_pkt_size                          | Total                     | 1514
flow.tcp                                      | Total                     | 13854
flow.icmpv6                                   | Total                     | 20
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 114
decoder.event.ipv6.unknown_next_header        | Total                     | 280
flow.wrk.flows_evicted_needs_work             | Total                     | 4157
flow.wrk.flows_evicted_pkt_inject             | Total                     | 4159
flow.wrk.flows_evicted                        | Total                     | 378
flow.wrk.flows_injected                       | Total                     | 4048
tcp.sessions                                  | Total                     | 13854
tcp.syn                                       | Total                     | 13854
tcp.synack                                    | Total                     | 6927
tcp.rst                                       | Total                     | 6942
tcp.stream_depth_reached                      | Total                     | 1
detect.alert                                  | Total                     | 5439
app_layer.flow.http                           | Total                     | 6927
app_layer.tx.http                             | Total                     | 9877
flow.mgr.full_hash_pass                       | Total                     | 7
flow.spare                                    | Total                     | 10603
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 13675
flow.mgr.flows_notimeout                      | Total                     | 3520
flow.mgr.flows_timeout                        | Total                     | 10155
flow.mgr.flows_evicted                        | Total                     | 10155
flow.mgr.flows_evicted_needs_work             | Total                     | 3026
tcp.memuse                                    | Total                     | 2293760
tcp.reassembly_memuse                         | Total                     | 393216
flow.memuse                                   | Total                     | 8100224
